,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
1950,448204.8,247124,169835.8,125868.4,97873.35,78342.55,63911.99,52768.96,43962.59,36883.17,31067.78,26274.2,22287,18942.72,16116.37,13739.18,11724.35,10004.99,8546.315,50367.71
1951,448204.8,247120.2,169755,125713.5,97748.79,78242.77,63830.59,52701.75,43906.61,36836.19,31028.22,26240.74,22258.62,18918.6,16095.85,13721.69,11709.42,9992.25,8535.431,50303.56
1952,448193.9,247086.4,169040.2,124295.1,96537.4,77269.29,63036.36,52045.99,43360.28,36377.85,30642.14,25914.23,21981.66,18683.19,15895.57,13550.95,11563.72,9867.918,8429.226,49677.64
1953,448186.9,247108.5,169609.3,124896.3,96344.9,77029.15,62837.34,51881.62,43223.34,36262.96,30545.36,25832.39,21912.23,18624.19,15845.37,13508.15,11527.2,9836.753,8402.605,49520.75
1954,448182.9,247101.2,169552.9,125180,96701.73,76788.76,62571.33,51659.43,43038.19,36107.62,30414.52,25721.73,21818.37,18544.41,15777.49,13450.29,11477.82,9794.615,8366.611,49308.62
1955,448165.6,247047.6,168466.3,123084.4,95277.19,75764.76,61317.14,50567.46,42126.37,35342.6,29770.12,25176.75,21356.1,18151.5,15443.21,13165.31,11234.64,9587.094,8189.345,48263.9
1956,448133.7,246269.1,161680.2,115369.3,88994.69,71607.87,58657.23,48539.21,40743.66,34407.91,29117.95,24625.22,20888.26,17753.86,15104.9,12876.9,10988.52,9377.072,8009.943,47206.6
1957,448091.4,246140.1,160151.8,109636,82672.47,66378.62,55099.26,46214.25,38971.29,33191.26,28291.67,24038,20390.15,17330.5,14744.71,12569.84,10726.49,9153.466,7818.938,46080.91
1958,448007,245873.4,156613.5,103406.8,74788.03,58787.17,48774.72,41521.85,35538.08,30438.56,26185.19,22409.28,19097.23,16231.59,13809.76,11772.8,10046.34,8573.054,7323.147,43158.97
1959,447912.8,245763.4,156559.4,102080.7,71331.29,53862.02,43824.05,37350.29,32490.83,28274.52,24479.28,21143.04,18148.57,15497.22,13184.96,11240.15,9591.801,8185.177,6991.82,41206.29
1960,447810.5,245566.5,154939.4,100161.3,69165.39,50533.01,39559.46,33114.26,28876.57,25565.85,22504.55,19561.89,16946.6,14575.59,12458.67,10621,9063.443,7734.301,6606.68,38936.47
1961,447687.2,245366.1,153366.1,97469.9,66787.9,48294.9,36642.94,29559.76,25351.81,22523.75,20185.96,17840.08,15553.94,13501.46,11624.08,9955.718,8495.725,7249.839,6192.85,36497.56
1962,447521.7,245050.2,150425.7,92968.61,62677.49,45072.94,33929.94,26590.48,22021.35,19271.34,17350.06,15611.58,13838.76,12089.52,10504.7,9062.13,7769.242,6629.893,5663.289,33376.59
1963,447340.1,244808.5,149350.1,90829.92,59668.59,42316.5,31760.08,24754.96,19957.72,16891.71,14996.18,13555.23,12233.64,10866.12,9502.13,8273.022,7144.057,6124.82,5231.852,30833.92
1964,447175.5,244588.4,148737.3,90391.02,58551.44,40548.63,30083.19,23430.65,18823.37,15531.8,13349.57,11899.02,10787.99,9755.689,8673.834,7600.217,6623.744,5719.845,4908.705,28929.45
1965,446993.5,244280,146423,87598.25,56765.63,38850.09,28215.21,21774.37,17514.94,14423.19,12098.59,10440.4,9333.922,8479.336,7675.623,6838.099,5997.698,5227.116,4518.322,26752.9
1966,446770.1,243942.7,144008.2,83927.07,53617.47,36805.39,26491.17,20067.27,16030.78,13241.02,11098.39,9346.961,8090.137,7247.22,6590.273,5977.558,5330.646,4675.511,4078.879,24422.79
1967,446510.5,243714.6,142747.4,81394.88,50681.17,34333.94,24815.06,18650.22,14638.11,12016.21,10107.41,8505.806,7185.035,6231.361,5587.696,5091.354,4622.618,4122.342,3619.325,22082.13
1968,446137.6,243327.8,139353.9,76514.24,46588.56,30802.78,22004.55,16630.91,12966.88,10467.95,8756.644,7395.152,6242.029,5283.331,4586.655,4121.114,3758.802,3412.747,3046.453,19009.96
1969,445550.6,242800.8,135116.2,69947.16,40997.82,26560.76,18560.07,13894.97,10914.7,8765.3,7217.978,6062.178,5135.006,4342.984,3679.634,3200.821,2878.818,2625.724,2386.371,15436.3
1970,444994.7,242561.7,137163.5,71337.74,39535.71,24687.81,16927.13,12412.14,9668.463,7829.162,6417.284,5305.633,4469.441,3793.448,3211.557,2726.469,2374.06,2135.229,1949.457,13243.83
1971,444503.9,242216.5,136607.8,71990.15,40090.29,23680.48,15656.74,11269.77,8601.445,6908.888,5711.271,4700.087,3897.578,3289.875,2795.082,2371.072,2014.948,1754.507,1579.582,11249.36
1972,444016.7,241658.5,134401.2,70326,39799.56,23715.36,14895.77,10381.87,7805.481,6159.406,5060.06,4199.692,3466.518,2880.388,2433.716,2071.828,1759.292,1495.055,1303.115,9536.728
1973,443532.7,241068.8,131864.5,67683.31,38157.37,23207.38,14775.34,9828.038,7182.59,5599.871,4529.018,3735.58,3109.731,2571.979,2139.238,1811.117,1543.351,1310.536,1114.814,8090.036
1974,443134.1,240543.6,130420.4,66366.67,36850.6,22426.32,14644.36,9919.694,6946.119,5280.028,4228.034,3433.221,2840.263,2369.146,1961.421,1634.674,1385.329,1180.513,1003.436,7054.058
1975,442406,239624.9,123146.1,58640.84,32340.41,19503.37,12829.71,8971.341,6432.562,4704.639,3683.867,2961.716,2412.179,1999.563,1669.562,1385.001,1155.433,979.1889,835.2546,5705.952
1976,440875.3,238230.1,113906.2,47918.92,24829.76,15016.73,9893.399,7040.576,5256.566,3962.698,2999.37,2358.006,1901.46,1551.75,1287.602,1077.253,894.5397,746.267,633.0679,4232.73
1977,438364.4,236641.5,107352.9,40159.68,18459.4,10574.14,7048.654,5066.75,3877.762,3060.759,2397.154,1821.68,1436.447,1160.648,948.1339,788.3118,660.1893,548.2142,457.8036,2987.561
1978,490782,234267.9,98348.99,32152.57,13183.68,6762.445,4314.08,3168.991,2470.561,2011.846,1657.235,1303.13,993.2691,784.7896,634.7439,519.5604,432.413,362.1339,301.013,1893.419
1979,363964.7,260759.1,87233.26,23532.32,8463.121,3919.717,2269.292,1615.94,1301.488,1088.606,930.5671,769.616,606.9891,463.5841,366.6478,297.1412,243.464,202.6271,169.8643,1030.22
1980,539193.9,193178.5,96761.48,21201.76,6324.4,2582.248,1357.354,881.8296,691.6027,599.6792,527.8074,452.9909,375.7671,296.9574,227.0262,179.9141,145.9531,119.5874,99.62819,590.5673
1981,186405.9,284126.8,63964.93,19225.14,4708.275,1625.157,769.0042,462.8061,336.8386,288.1253,265.2979,234.4377,201.8108,167.7422,132.6942,101.6488,80.63544,65.41451,53.6513,309.9122
1982,307890.2,97400.84,88821.1,11213.16,3765.65,1070.466,429.5859,233.435,157.7869,125.4938,114.1465,105.5242,93.52952,80.67412,67.12223,53.20404,40.79711,32.36331,26.28061,146.188
1983,878927.2,163240.9,36963.6,20861.88,2857.391,1067.237,336.6048,148.3137,87.13593,62.51993,51.80667,47.31113,43.86881,38.96018,33.63882,28.0441,22.25123,17.06235,13.54867,72.264
1984,999368.8,458857.5,45273.54,4824.698,3021.597,482.2349,210.3722,76.53558,38.01907,24.47931,18.71468,15.56994,14.26157,13.25038,11.77953,10.19099,8.504549,6.747825,5.179441,26.07121
1985,458062.7,507726.7,129718.3,7479.434,921.6427,694.8104,134.0212,69.67381,29.37671,16.33273,11.37207,8.728905,7.283952,6.685227,6.217439,5.538339,4.796255,4.002555,3.178953,14.73472
1986,228348.3,225813.7,125767.5,18963.05,1310.127,202.279,192.3755,46.06843,28.73561,13.9238,8.528428,5.961928,4.589973,3.837832,3.525895,3.285741,2.929784,2.537221,2.119472,9.493628
1987,784377.8,112093.2,87322.99,37537.81,6376.748,499.4897,87.03553,92.31244,24.21597,16.19429,8.23293,5.062943,3.549962,2.738518,2.292059,2.109978,1.968231,1.755005,1.521372,6.969157
1988,576820.7,406577,50662.88,32126.43,15164.47,2840.738,244.1454,46.19839,52.48266,14.50978,10.05884,5.134257,3.166862,2.22494,1.718085,1.440865,1.32773,1.238534,1.105464,5.352509
1989,215415.4,301942,194024,20825.62,14483.53,7508.721,1537.012,142.8972,28.86751,34.47633,9.863562,6.865279,3.514721,2.172256,1.527688,1.182032,0.9922988,0.9143843,0.8538101,4.455634
1990,69981.33,113907.7,147916.7,82208.54,9626.069,7312.909,4119.876,907.5118,89.67801,18.98153,23.40359,6.722526,4.6931,2.407471,1.489414,1.049561,0.8128993,0.682417,0.6294633,3.658097
1991,63820.45,36481.47,66170.63,84384.02,50188.44,6188.76,4901.727,2855.016,646.0913,65.18031,13.98552,17.3128,4.987929,3.489122,1.791644,1.110644,0.7834317,0.6067786,0.5098914,3.206333
1992,338337.9,31775.23,18766.19,33068.98,46348.53,29833.36,3944.29,3316.582,2029.54,476.9669,49.36731,10.63504,13.20477,3.811994,2.669208,1.373367,0.8522046,0.6011327,0.4660513,2.856802
1993,118872.9,172637.3,19711.82,8501.14,10740.86,16909.65,13005,2038.397,1975.117,1341.591,337.6037,36.42532,8.047665,10.14144,2.930595,2.05615,1.058993,0.6571288,0.4639928,2.566998
1994,210632.1,54543.19,100842.1,8763.244,2761.715,3872.246,6946.734,5976.933,1021.646,1051.819,742.0984,190.2419,20.76584,4.620002,5.827827,1.687452,1.185126,0.6103838,0.3791356,1.750236
1995,97194.01,97244.36,31922.52,46521.23,2986.7,1030.335,1630.891,3256.842,3051.883,554.6088,593.754,428.159,111.2598,12.24314,2.726593,3.446303,0.998878,0.701529,0.3616749,1.262769
